Date	Time CST	Date-Time-CST	Wind (mph)	Weather	Sky	Temp (°F)	Wind Chill (°F)
1/22/2022	18:15	1/22/22 6:15 PM	NW 5	Fair	CLR	-6	-18
1/22/2022	17:55	1/22/22 5:55 PM	W 5	Fair	CLR	-2	-13
1/22/2022	17:35	1/22/22 5:35 PM	W 5	Fair	CLR	-2	-13
1/22/2022	17:15	1/22/22 5:15 PM	W 6	Fair	CLR	0	-12
1/22/2022	16:55	1/22/22 4:55 PM	NW 7	Partly Cloudy	SCT075	0	-13
1/22/2022	16:35	1/22/22 4:35 PM	W 10	Fair	CLR	0	-16
1/22/2022	16:15	1/22/22 4:15 PM	W 8	Fair	CLR	0	-14
1/22/2022	15:55	1/22/22 3:55 PM	W 9	Fair	CLR	1	-14
1/22/2022	15:35	1/22/22 3:35 PM	W 8	Fair	CLR	1	-13
1/22/2022	15:15	1/22/22 3:15 PM	W 10	Fair	CLR	0	-16
1/22/2022	14:55	1/22/22 2:55 PM	W 12	Fair	CLR	1	-16
1/22/2022	14:35	1/22/22 2:35 PM	W 15	Fair	CLR	1	-18
1/22/2022	14:15	1/22/22 2:15 PM	W 14	Fair	CLR	0	-19
1/22/2022	13:55	1/22/22 1:55 PM	W 13	Fair	CLR	0	-18
1/22/2022	13:35	1/22/22 1:35 PM	W 14 G 17	Fair	CLR	0	-19
1/22/2022	13:15	1/22/22 1:15 PM	W 12 G 17	Fair	CLR	0	-17
1/22/2022	12:55	1/22/22 12:55 PM	W 13 G 16	Fair	CLR	0	-18
1/22/2022	12:35	1/22/22 12:35 PM	W 14	Fair	CLR	0	-19
1/22/2022	12:15	1/22/22 12:15 PM	NW 12 G 17	Fair	CLR	-2	-20
1/22/2022	11:55	1/22/22 11:55 AM	W 12	Fair	CLR	-2	-20
1/22/2022	11:35	1/22/22 11:35 AM	W 14	Fair	CLR	-2	-21
1/22/2022	11:15	1/22/22 11:15 AM	W 13	Fair	CLR	-2	-21
1/22/2022	10:55	1/22/22 10:55 AM	NW 15 G 22	Fair	CLR	-4	-25
1/22/2022	10:35	1/22/22 10:35 AM	NW 13 G 20	Partly Cloudy	SCT021	-4	-23
